destination_id,date,temperature_max,temperature_min,precipitation,sunshine_duration
BKK,2026-09-20,31.6,25.7,4.2,38047.36
BKK,2026-09-21,30.9,24.8,13.8,29374.65
BKK,2026-09-22,30.3,23.8,24.8,17641.89
BKK,2026-09-23,30.9,23.8,16.2,20410.94
BKK,2026-09-24,28.6,23.7,16.5,29122.77
BKK,2026-09-25,29.0,23.8,51.3,22488.89
BKK,2026-09-26,27.0,23.5,37.3,16886.11
IPC,2026-09-20,20.4,18.7,26.0,21600.0
IPC,2026-09-21,20.2,18.4,1.1,42023.41
IPC,2026-09-22,20.0,18.0,2.3,42577.26
IPC,2026-09-23,18.5,16.7,3.4,42646.11
IPC,2026-09-24,17.9,15.1,0.0,41143.97
IPC,2026-09-25,17.8,14.6,0.0,39674.6
IPC,2026-09-26,17.6,14.7,0.0,22242.81
MAD,2026-09-20,29.8,16.0,0.0,42920.21
MAD,2026-09-21,31.8,15.1,0.0,42861.99
MAD,2026-09-22,33.2,16.5,0.0,42803.64
MAD,2026-09-23,32.7,17.9,0.0,42745.14
MAD,2026-09-24,33.5,17.4,0.0,42686.49
MAD,2026-09-25,32.5,17.1,0.0,42627.66
MAD,2026-09-26,30.7,16.0,0.0,42554.24
MRU,2026-09-20,21.9,15.0,0.8,42891.35
MRU,2026-09-21,21.8,14.2,1.3,42946.23
MRU,2026-09-22,22.9,14.1,0.1,43001.5
MRU,2026-09-23,23.7,14.0,2.4,35857.09
MRU,2026-09-24,25.7,14.1,0.0,37612.55
MRU,2026-09-25,23.8,14.4,0.0,43168.88
MRU,2026-09-26,22.1,16.0,1.4,43200.0
NYC,2026-09-20,20.4,17.6,5.1,0.0
NYC,2026-09-21,20.8,14.7,0.7,15753.99
NYC,2026-09-22,16.5,12.9,25.03,0.0
NYC,2026-09-23,17.0,11.6,0.0,14417.94
NYC,2026-09-24,17.5,11.8,0.0,20114.36
NYC,2026-09-25,15.9,10.8,15.5,83.99
NYC,2026-09-26,15.4,11.5,19.8,0.0
RAK,2026-09-20,37.2,23.6,0.1,40105.32
RAK,2026-09-21,37.6,23.9,0.0,40414.96
RAK,2026-09-22,37.2,20.1,0.0,42083.14
RAK,2026-09-23,37.0,18.5,0.0,42148.45
RAK,2026-09-24,36.8,19.3,0.0,42358.55
RAK,2026-09-25,35.0,19.9,0.0,40467.39
RAK,2026-09-26,33.8,21.9,0.0,33242.06
REK,2026-09-20,11.6,8.6,0.1,450.28
REK,2026-09-21,12.0,7.6,5.0,6204.53
REK,2026-09-22,10.2,7.2,9.42,0.0
REK,2026-09-23,8.6,5.8,2.8,38818.21
REK,2026-09-24,8.8,6.1,7.9,14876.71
REK,2026-09-25,8.9,6.5,3.7,20449.4
REK,2026-09-26,8.3,4.7,0.2,37595.52
SYD,2026-09-20,29.0,20.6,0.0,42355.81
SYD,2026-09-21,23.3,15.2,0.5,25943.98
SYD,2026-09-22,19.0,14.7,3.9,10800.0
SYD,2026-09-23,22.0,15.3,1.5,42480.28
SYD,2026-09-24,21.5,14.5,0.0,42521.95
SYD,2026-09-25,23.1,14.4,0.0,42563.74
SYD,2026-09-26,27.3,16.4,3.4,32160.43
TYO,2026-09-20,23.0,21.6,97.5,0.0
TYO,2026-09-21,27.1,23.6,157.7,4864.58
TYO,2026-09-22,29.0,21.0,0.0,29317.46
TYO,2026-09-23,25.2,19.4,0.0,37235.66
TYO,2026-09-24,28.2,19.8,10.8,32575.62
TYO,2026-09-25,23.6,17.8,0.8,21456.71
TYO,2026-09-26,22.2,18.1,26.9,3357.85
ZNZ,2026-09-20,29.3,23.5,0.8,42176.57
ZNZ,2026-09-21,29.8,22.5,0.5,42207.14
ZNZ,2026-09-22,30.7,22.1,0.0,42237.98
ZNZ,2026-09-23,31.1,22.5,0.0,42269.03
ZNZ,2026-09-24,30.4,22.0,2.7,42302.89
ZNZ,2026-09-25,30.6,22.5,1.8,42339.71
ZNZ,2026-09-26,29.0,22.4,5.0,42362.8
